ID,Jenis Kelamin,Nilai rata-rata SMP,Lembaga pendidikan kelas 10,Nilai rata-rata SMA,Lembaga pendidikan kelas 12,Jurusan saat SMA,IPK,Program studi sarjana,Pengalaman kerja sebelum lulus,Nilai tes kemampuan kerja,Pendidikan pascasarjana,Nilai rata-rata pascasarjana,status kelulusan (Bekerja/Belum),Gaji
1,M,67,Internasional,91,Internasional,Commerce,58,Sci&Tech,No,55,Mkt&HR,58.8,Placed,5400000
2,M,79.33,Negeri,78.33,Negeri,Science,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed,4000000
3,M,65,Negeri,68,Swasta,Arts,64,Comm&Mgmt,No,75,Mkt&Fin,57.8,Placed,5000000
4,M,56,Negeri,52,Swasta,Science,52,Sci&Tech,No,66,Mkt&HR,59.43,Not Placed,
5,M,85.8,Negeri,73.6,Negeri,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed,8500000
6,M,55,Swasta,49.8,Swasta,Science,67.25,Sci&Tech,Yes,55,Mkt&Fin,51.58,Not Placed,
7,F,46,Swasta,49.2,Swasta,Commerce,79,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed,
8,M,82,Negeri,64,Negeri,Science,66,Sci&Tech,Yes,67,Mkt&Fin,62.14,Placed,5040000
9,M,73,Negeri,79,Negeri,Commerce,72,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed,4620000
10,M,58,Negeri,70,Swasta,Commerce,61,Comm&Mgmt,No,54,Mkt&Fin,52.21,Not Placed,
11,M,58,Negeri,61,Negeri,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,Placed,5200000
12,M,69.6,Negeri,68.4,Negeri,Commerce,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,63.7,Placed,5000000
13,Female,47,Negeri,55,Swasta,Science,65,Comm&Mgmt,No,62,Mkt&HR,65.04,Not Placed,
14,F,77,Negeri,87,Negeri,Commerce,59,Comm&Mgmt,No,,Mkt&Fin,68.63,Placed,4360000
15,M,62,Negeri,47,Swasta,Commerce,50,Comm&Mgmt,No,76,Mkt&HR,54.96,Not Placed,
16,F,65,Negeri,75,Negeri,Commerce,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,Placed,4000000
17,M,63,Negeri,66.2,Internasional,Commerce,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,Placed,6000000
18,F,55,Negeri,67,Swasta,Commerce,64,Comm&Mgmt,No,60,Mkt&Fin,67.28,Not Placed,
19,F,63,Negeri,66,Swasta,Commerce,64,Comm&Mgmt,No,68,Mkt&HR,64.08,Not Placed,
20,Male,60,Internasional,,Internasional,Arts,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Placed,4720000
21,M,62,Internasional,65,Internasional,Commerce,66,Comm&Mgmt,No,50,Mkt&HR,56.7,Placed,5300000
22,F,,Internasional,76,Internasional,Commerce,85,Comm&Mgmt,No,95,Mkt&Fin,69.06,Placed,7860000
23,F,69.8,Internasional,60.8,Internasional,Science,72.23,Sci&Tech,No,,Mkt&HR,68.81,Placed,7200000
24,,77.4,Internasional,60,Internasional,Science,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,Placed,6000000
25,Male,76.5,Internasional,97.7,Internasional,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,Placed,7200000
26,F,52.58,Swasta,54.6,Swasta,Commerce,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,Not Placed,
27,M,71,Swasta,79,Swasta,Commerce,66,Comm&Mgmt,Yes,94,Mkt&Fin,57.55,Placed,4800000
28,M,63,Swasta,67,Swasta,Commerce,66,Comm&Mgmt,No,68,Mkt&HR,57.69,Placed,5300000
29,M,76.76,Internasional,76.5,Internasional,Commerce,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,64.15,Placed,7000000
30,M,62,Negeri,67,Swasta,Commerce,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,Not Placed,
31,F,64,Negeri,73.5,Negeri,Commerce,73,Comm&Mgmt,No,52,Mkt&HR,56.7,Placed,5000000
32,F,67,Negeri,53,Swasta,Science,65,Sci&Tech,No,64,Mkt&HR,58.32,Not Placed,
33,F,61,Negeri,81,Negeri,Commerce,66.4,Comm&Mgmt,No,50.89,Mkt&HR,62.21,Placed,5560000
34,F,87,Internasional,65,Internasional,Science,81,Comm&Mgmt,Yes,88,Mkt&Fin,72.78,Placed,5200000
35,M,,Swasta,51,Swasta,Science,52,Others,No,68.44,Mkt&HR,62.77,Not Placed,
36,F,69,Negeri,78,Negeri,Commerce,72,Comm&Mgmt,No,71,Mkt&HR,62.74,Placed,6000000
37,M,51,Negeri,44,Swasta,Commerce,57,Comm&Mgmt,No,64,Mkt&Fin,51.45,Not Placed,
38,F,79,Negeri,76,Negeri,Science,65.6,Sci&Tech,No,58,Mkt&HR,55.47,Placed,6400000
39,F,73,Swasta,58,Swasta,Science,66,Comm&Mgmt,No,53.7,Mkt&HR,56.86,Placed,4800000
40,M,81,Internasional,68,Internasional,Science,64,Sci&Tech,No,93,Mkt&Fin,62.56,Placed,8220000
41,F,78,Negeri,77,Negeri,Commerce,80,Comm&Mgmt,No,60,Mkt&Fin,66.72,Placed,5740000
42,F,74,Swasta,63.16,Swasta,Commerce,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,Not Placed,
43,M,49,Swasta,39,Swasta,Science,65,Others,No,63,Mkt&Fin,51.21,Not Placed,
44,M,87,Swasta,87,Swasta,Commerce,68,Comm&Mgmt,No,95,Mkt&HR,62.9,Placed,6000000
45,F,77,Swasta,73,Swasta,Commerce,81,Comm&Mgmt,Yes,,Mkt&Fin,69.7,Placed,4000000
46,F,76,Negeri,64,Negeri,Science,72,Sci&Tech,No,58,Mkt&HR,66.53,Not Placed,
47,F,70.89,Internasional,71.98,Internasional,Science,65.6,Comm&Mgmt,No,68,Mkt&HR,71.63,Not Placed,
48,M,63,Negeri,60,Negeri,Commerce,57,Comm&Mgmt,Yes,78,Mkt&Fin,54.55,Placed,4080000
49,M,63,Swasta,62,Swasta,Commerce,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,Placed,5000000
50,F,50,Swasta,37,Swasta,Arts,52,Others,No,65,Mkt&HR,56.11,Not Placed,
51,F,75.2,Negeri,73.2,Negeri,Science,68.4,Comm&Mgmt,No,65,Mkt&HR,62.98,Placed,4000000
52,M,54.4,Negeri,61.12,Negeri,Commerce,56.2,Comm&Mgmt,No,67,Mkt&HR,62.65,Not Placed,
53,F,40.89,Swasta,45.83,Swasta,Commerce,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,Not Placed,
54,M,80,Swasta,70,Swasta,Science,72,Sci&Tech,No,87,Mkt&HR,71.04,Placed,9000000
55,F,74,Negeri,60,Negeri,Science,69,Comm&Mgmt,No,78,Mkt&HR,65.56,Placed,4320000
56,M,60.4,Negeri,66.6,Negeri,Science,65,Comm&Mgmt,No,71,Mkt&HR,52.71,Placed,4400000
57,M,63,Internasional,71.4,Internasional,Commerce,61.4,Comm&Mgmt,No,68,Mkt&Fin,66.88,Placed,4800000
58,M,68,Negeri,76,Internasional,Commerce,74,Comm&Mgmt,No,80,Mkt&Fin,63.59,Placed,7200000
59,M,74,Negeri,62,Negeri,Science,68,Comm&Mgmt,No,74,Mkt&Fin,57.99,Placed,5360000
60,M,52.6,Negeri,65.58,Negeri,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,Placed,5300000
61,M,74,Negeri,70,Negeri,Science,72,Comm&Mgmt,Yes,60,Mkt&Fin,57.24,Placed,5200000
62,M,84.2,Negeri,73.4,Negeri,Commerce,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,62.48,Placed,6000000
63,F,86.5,Swasta,64.2,Swasta,Science,67.4,Sci&Tech,No,59,Mkt&Fin,59.69,Placed,4800000
64,Male,61,Swasta,70,Swasta,Commerce,64,Comm&Mgmt,No,,Mkt&HR,59.5,Not Placed,
65,Male,80,Swasta,73,Swasta,Commerce,75,Comm&Mgmt,No,61,Mkt&Fin,58.78,Placed,4800000
66,Male,54,Internasional,47,Internasional,Science,57,Comm&Mgmt,No,89.69,Mkt&HR,57.1,Not Placed,
67,Male,83,Swasta,74,Swasta,Science,66,Comm&Mgmt,No,68.92,Mkt&HR,58.46,Placed,5500000
68,M,80.92,Swasta,78.5,Swasta,Commerce,67,Comm&Mgmt,No,68.71,Mkt&Fin,60.99,Placed,5500000
69,F,69.7,Negeri,47,Negeri,Commerce,72.7,Sci&Tech,No,79,Mkt&HR,59.24,Not Placed,
70,M,73,Negeri,73,Negeri,Science,66,Sci&Tech,Yes,,Mkt&Fin,68.07,Placed,5500000
71,M,82,Internasional,61,Internasional,Science,62,Sci&Tech,No,89,Mkt&Fin,65.45,Placed,7200000
72,M,75,Internasional,70.29,Internasional,Commerce,71,Comm&Mgmt,No,95,Mkt&Fin,66.94,Placed,4800000
73,M,84.86,Internasional,67,Internasional,Science,78,Comm&Mgmt,No,95.5,Mkt&Fin,68.53,Placed,4800000
74,M,64.6,Negeri,83.83,Negeri,Commerce,71.72,Comm&Mgmt,No,86,Mkt&Fin,59.75,Placed,4360000
75,M,56.6,Negeri,64.8,Negeri,Commerce,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,67.2,Placed,6720000
76,F,59,Negeri,62,Negeri,Commerce,77.5,Comm&Mgmt,No,74,Mkt&HR,67,Not Placed,
77,F,66.5,Internasional,70.4,Internasional,Arts,71.93,Comm&Mgmt,No,61,Mkt&Fin,64.27,Placed,4600000
78,M,64,Internasional,80,Internasional,Science,65,Sci&Tech,Yes,69,Mkt&Fin,57.65,Placed,10000000
79,M,84,Swasta,90.9,Swasta,Science,64.5,Sci&Tech,No,86.04,Mkt&Fin,59.42,Placed,5400000
80,F,69,Negeri,62,Negeri,Science,66,Sci&Tech,No,75,Mkt&HR,67.99,Not Placed,
81,F,69,Swasta,62,Swasta,Commerce,69,Comm&Mgmt,Yes,67,Mkt&HR,62.35,Placed,4800000
82,M,81.7,Internasional,63,Internasional,Science,67,Comm&Mgmt,Yes,86,Mkt&Fin,70.2,Placed,6000000
83,M,63,Negeri,67,Negeri,Commerce,74,Comm&Mgmt,No,82,Mkt&Fin,60.44,Not Placed,
84,M,84,Internasional,79,Internasional,Science,68,Sci&Tech,Yes,84,Mkt&Fin,66.69,Placed,6000000
85,M,70,Negeri,63,Negeri,Science,70,Sci&Tech,Yes,55,Mkt&Fin,62,Placed,6000000
86,F,83.84,Internasional,89.83,Internasional,Commerce,77.2,Comm&Mgmt,Yes,,Mkt&Fin,76.18,Placed,8000000
87,M,62,Swasta,63,Swasta,Commerce,64,Comm&Mgmt,No,67,Mkt&Fin,57.03,Placed,4400000
88,M,59.6,Negeri,51,Negeri,Science,60,Others,No,75,Mkt&HR,59.08,Not Placed,
89,F,66,Negeri,62,Negeri,Commerce,73,Comm&Mgmt,No,58,Mkt&HR,64.36,Placed,4200000
90,F,84,Swasta,75,Swasta,Science,69,Sci&Tech,Yes,62,Mkt&HR,62.36,Placed,4200000
91,F,85,Swasta,90,Swasta,Commerce,82,Comm&Mgmt,No,92,Mkt&Fin,68.03,Placed,6000000
92,M,52,Negeri,57,Negeri,Commerce,50.8,Comm&Mgmt,No,67,Mkt&HR,62.79,Not Placed,
93,F,60.23,Negeri,69,Negeri,Science,66,Comm&Mgmt,No,72,Mkt&Fin,59.47,Placed,4600000
94,M,52,Negeri,62,Negeri,Commerce,54,Comm&Mgmt,No,72,Mkt&HR,55.41,Not Placed,
95,M,58,Negeri,62,Negeri,Commerce,64,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,Placed,5200000
96,M,73,Negeri,78,Negeri,Commerce,65,Comm&Mgmt,Yes,95.46,Mkt&Fin,62.16,Placed,8400000
97,Female,76,Negeri,70,Negeri,Science,76,Comm&Mgmt,Yes,66,Mkt&Fin,64.44,Placed,6000000
98,F,70.5,Negeri,62.5,Negeri,Commerce,61,Comm&Mgmt,No,93.91,Mkt&Fin,69.03,Not Placed,
99,F,69,Negeri,73,Negeri,Commerce,65,Comm&Mgmt,No,70,Mkt&Fin,57.31,Placed,4400000
100,M,54,Negeri,82,Negeri,Commerce,63,Sci&Tech,No,50,Mkt&Fin,59.47,Not Placed,
101,F,45,Swasta,57,Swasta,Commerce,58,Comm&Mgmt,Yes,56.39,Mkt&HR,64.95,Not Placed,
102,M,63,Negeri,72,Negeri,Commerce,68,Comm&Mgmt,No,78,Mkt&HR,60.44,Placed,7600000
103,F,77,Swasta,61,Swasta,Commerce,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,61.31,Placed,6000000
104,M,73,Negeri,78,Negeri,Science,73,Sci&Tech,Yes,85,Mkt&HR,65.83,Placed,4800000
105,M,69,Negeri,63,Negeri,Science,65,Comm&Mgmt,Yes,55,Mkt&HR,58.23,Placed,7200000
106,M,59,Negeri,64,Negeri,Science,58,Sci&Tech,No,85,Mkt&HR,55.3,Not Placed,
107,M,61.08,Swasta,50,Swasta,Science,54,Sci&Tech,No,71,Mkt&Fin,65.69,Not Placed,
108,M,82,Internasional,90,Internasional,Commerce,83,Comm&Mgmt,No,80,Mkt&HR,73.52,Placed,4000000
109,M,61,Negeri,82,Negeri,Commerce,69,Comm&Mgmt,No,84,Mkt&Fin,58.31,Placed,6000000
110,M,52,Negeri,63,Negeri,Science,65,Sci&Tech,Yes,86,Mkt&HR,56.09,Not Placed,
111,F,69.5,Negeri,70,Negeri,Science,72,Sci&Tech,No,57.2,Mkt&HR,54.8,Placed,5000000
112,M,51,Swasta,54,Swasta,Science,61,Sci&Tech,No,60,Mkt&HR,60.64,Not Placed,
113,M,58,Swasta,61,Swasta,Commerce,61,Comm&Mgmt,No,58,Mkt&HR,53.94,Placed,5000000
114,F,73.96,Internasional,79,Internasional,Commerce,67,Comm&Mgmt,No,72.15,Mkt&Fin,63.08,Placed,5600000
115,M,65,Negeri,68,Negeri,Science,69,Comm&Mgmt,No,53.7,Mkt&HR,55.01,Placed,5000000
116,F,73,Internasional,63,Internasional,Science,66,Comm&Mgmt,No,89,Mkt&Fin,60.5,Placed,4320000
117,M,68.2,Negeri,72.8,Negeri,Commerce,66.6,Comm&Mgmt,Yes,96,Mkt&Fin,70.85,Placed,6000000
118,M,77,Swasta,75,Swasta,Science,73,Sci&Tech,No,80,Mkt&Fin,67.05,Placed,4800000
119,M,76,Negeri,80,Negeri,Science,78,Sci&Tech,Yes,97,Mkt&HR,70.48,Placed,5520000
120,M,60.8,Negeri,68.4,Negeri,Commerce,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,64.34,Placed,18800000
121,M,58,Swasta,40,Swasta,Science,59,Comm&Mgmt,No,73,Mkt&HR,58.81,Not Placed,
122,F,64,Negeri,67,Negeri,Science,69.6,Sci&Tech,Yes,55.67,Mkt&HR,71.49,Placed,5000000
123,F,66.5,Negeri,66.8,Negeri,Arts,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,71,Placed,4720000
124,M,74,Swasta,59,Swasta,Commerce,73,Comm&Mgmt,Yes,60,Mkt&HR,56.7,Placed,4800000
125,M,67,Negeri,71,Negeri,Science,64.33,Others,Yes,64,Mkt&HR,61.26,Placed,5000000
126,F,84,Negeri,73,Negeri,Commerce,73,Comm&Mgmt,No,75,Mkt&Fin,73.33,Placed,7000000
127,F,79,Swasta,61,Swasta,Science,75.5,Sci&Tech,Yes,70,Mkt&Fin,68.2,Placed,4200000
128,F,72,Swasta,60,Swasta,Science,69,Comm&Mgmt,No,55.5,Mkt&HR,58.4,Placed,5000000
129,M,80.4,Negeri,73.4,Negeri,Science,77.72,Sci&Tech,Yes,81.2,Mkt&HR,76.26,Placed,8000000
130,M,76.7,Negeri,89.7,Negeri,Commerce,66,Comm&Mgmt,Yes,90,Mkt&Fin,68.55,Placed,5000000
131,M,62,Negeri,65,Negeri,Commerce,60,Comm&Mgmt,No,84,Mkt&Fin,64.15,Not Placed,
132,F,74.9,Internasional,57,Internasional,Science,62,Others,Yes,80,Mkt&Fin,60.78,Placed,7200000
133,M,67,Internasional,68,Internasional,Commerce,64,Comm&Mgmt,Yes,74.4,Mkt&HR,53.49,Placed,6000000
134,M,73,Negeri,64,Negeri,Commerce,77,Comm&Mgmt,Yes,65,Mkt&HR,60.98,Placed,5000000
135,F,77.44,Negeri,92,Negeri,Commerce,72,Comm&Mgmt,Yes,94,Mkt&Fin,67.13,Placed,5000000
136,F,72,Negeri,56,Negeri,Science,69,Comm&Mgmt,No,55.6,Mkt&HR,65.63,Placed,4000000
137,F,47,Negeri,59,Negeri,Arts,64,Comm&Mgmt,No,78,Mkt&Fin,61.58,Not Placed,
138,M,67,Swasta,63,Swasta,Commerce,72,Comm&Mgmt,No,56,Mkt&HR,60.41,Placed,4500000
139,F,82,Swasta,64,Swasta,Science,73,Sci&Tech,Yes,96,Mkt&Fin,71.77,Placed,5000000
140,M,77,Negeri,70,Negeri,Commerce,59,Comm&Mgmt,Yes,58,Mkt&Fin,54.43,Placed,4400000
141,M,65,Negeri,64.8,Negeri,Commerce,69.5,Comm&Mgmt,Yes,56,Mkt&Fin,56.94,Placed,5300000
142,M,66,Negeri,64,Negeri,Science,60,Comm&Mgmt,No,60,Mkt&HR,61.9,Not Placed,
143,M,85,Negeri,60,Negeri,Science,73.43,Sci&Tech,Yes,60,Mkt&Fin,61.29,Placed,5200000
144,M,77.67,Internasional,64.89,Internasional,Commerce,70.67,Comm&Mgmt,No,89,Mkt&Fin,60.39,Placed,6000000
145,M,52,Swasta,50,Swasta,Arts,61,Comm&Mgmt,No,60,Mkt&Fin,58.52,Not Placed,
146,M,89.4,Swasta,65.66,Swasta,Science,71.25,Sci&Tech,No,72,Mkt&HR,63.23,Placed,8000000
147,M,62,Negeri,63,Negeri,Science,66,Comm&Mgmt,No,85,Mkt&HR,55.14,Placed,4660000
148,M,70,Negeri,74,Negeri,Commerce,65,Comm&Mgmt,No,83,Mkt&Fin,62.28,Placed,6000000
149,F,77,Negeri,86,Negeri,Arts,56,Others,No,57,Mkt&Fin,64.08,Placed,4800000
150,M,44,Negeri,58,Negeri,Arts,55,Comm&Mgmt,Yes,64.25,Mkt&HR,58.54,Not Placed,
151,M,71,Negeri,58.66,Negeri,Science,58,Sci&Tech,Yes,56,Mkt&Fin,61.3,Placed,13800000
152,M,65,Negeri,65,Negeri,Commerce,75,Comm&Mgmt,No,83,Mkt&Fin,58.87,Placed,5400000
153,F,75.4,Swasta,60.5,Swasta,Science,84,Sci&Tech,No,98,Mkt&Fin,65.25,Placed,4800000
154,M,49,Swasta,59,Swasta,Science,65,Sci&Tech,Yes,86,Mkt&Fin,62.48,Placed,6800000
155,M,53,Negeri,63,Negeri,Science,60,Comm&Mgmt,Yes,70,Mkt&Fin,53.2,Placed,5000000
156,M,51.57,Swasta,74.66,Swasta,Commerce,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,65.99,Not Placed,
157,M,84.2,Negeri,69.4,Negeri,Science,65,Sci&Tech,Yes,80,Mkt&HR,52.72,Placed,5100000
158,M,66.5,Negeri,62.5,Negeri,Commerce,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,55.03,Placed,6000000
159,M,67,Swasta,63,Swasta,Science,64,Sci&Tech,No,60,Mkt&Fin,61.87,Not Placed,
160,M,52,Negeri,49,Negeri,Commerce,58,Comm&Mgmt,No,62,Mkt&HR,60.59,Not Placed,
161,M,87,Negeri,74,Negeri,Science,65,Sci&Tech,Yes,75,Mkt&HR,72.29,Placed,6000000
162,M,55.6,Swasta,51,Swasta,Commerce,57.5,Comm&Mgmt,No,57.63,Mkt&HR,62.72,Not Placed,
163,M,74.2,Negeri,87.6,Negeri,Commerce,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,66.06,Placed,5700000
164,M,63,Internasional,67,Internasional,Science,64,Sci&Tech,No,75,Mkt&Fin,66.46,Placed,10000000
165,F,67.16,Negeri,72.5,Negeri,Commerce,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,65.52,Placed,5000000
166,F,63.3,Negeri,78.33,Negeri,Commerce,74,Comm&Mgmt,No,80,Mkt&Fin,74.56,Not Placed,
167,M,62,Internasional,62,Internasional,Commerce,60,Comm&Mgmt,Yes,63,Mkt&HR,52.38,Placed,4800000
168,M,67.9,Swasta,62,Swasta,Science,67,Sci&Tech,Yes,58.1,Mkt&Fin,75.71,Not Placed,
169,F,48,Negeri,51,Negeri,Commerce,58,Comm&Mgmt,Yes,60,Mkt&HR,58.79,Not Placed,
170,M,59.96,Swasta,42.16,Swasta,Science,61.26,Sci&Tech,No,54.48,Mkt&HR,65.48,Not Placed,
171,F,63.4,Swasta,67.2,Swasta,Commerce,60,Comm&Mgmt,No,58.06,Mkt&HR,69.28,Not Placed,
172,M,80,Internasional,80,Internasional,Commerce,72,Comm&Mgmt,Yes,63.79,Mkt&Fin,66.04,Placed,5800000
173,M,73,Internasional,58,Internasional,Commerce,56,Comm&Mgmt,No,84,Mkt&HR,52.64,Placed,6000000
174,F,52,Internasional,52,Internasional,Science,55,Sci&Tech,No,67,Mkt&HR,59.32,Not Placed,
175,M,73.24,Swasta,50.83,Swasta,Science,64.27,Sci&Tech,Yes,64,Mkt&Fin,66.23,Placed,10000000
176,M,63,Swasta,62,Swasta,Science,65,Sci&Tech,No,87.5,Mkt&HR,60.69,Not Placed,
177,F,59,Negeri,60,Negeri,Commerce,56,Comm&Mgmt,No,55,Mkt&HR,57.9,Placed,4400000
178,F,73,Negeri,97,Negeri,Commerce,79,Comm&Mgmt,Yes,89,Mkt&Fin,70.81,Placed,13000000
179,M,68,Internasional,56,Internasional,Science,68,Sci&Tech,No,73,Mkt&HR,68.07,Placed,7000000
180,F,77.8,Negeri,64,Negeri,Science,64.2,Sci&Tech,No,75.5,Mkt&HR,72.14,Not Placed,
181,M,65,Negeri,71.5,Negeri,Commerce,62.8,Comm&Mgmt,Yes,57,Mkt&Fin,56.6,Placed,5300000
182,M,62,Negeri,60.33,Negeri,Science,64.21,Sci&Tech,No,63,Mkt&HR,60.02,Not Placed,
183,M,52,Swasta,65,Swasta,Arts,57,Others,Yes,75,Mkt&Fin,59.81,Not Placed,
184,M,65,Negeri,77,Negeri,Commerce,69,Comm&Mgmt,No,60,Mkt&HR,61.82,Placed,5520000
185,F,56.28,Swasta,62.83,Swasta,Commerce,59.79,Comm&Mgmt,No,60,Mkt&HR,57.29,Not Placed,
186,F,88,Negeri,72,Negeri,Science,78,Others,No,82,Mkt&HR,71.43,Placed,5040000
187,F,52,Negeri,64,Negeri,Commerce,61,Comm&Mgmt,No,55,Mkt&Fin,62.93,Not Placed,
188,M,78.5,Negeri,65.5,Negeri,Science,67,Sci&Tech,Yes,95,Mkt&Fin,64.86,Placed,5600000
189,M,61.8,Swasta,47,Swasta,Commerce,54.38,Comm&Mgmt,No,57,Mkt&Fin,56.13,Not Placed,
190,F,54,Negeri,77.6,Negeri,Commerce,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,Not Placed,
191,F,64,Swasta,70.2,Swasta,Commerce,61,Comm&Mgmt,No,50,Mkt&Fin,62.5,Not Placed,
192,M,67,Swasta,61,Swasta,Science,72,Comm&Mgmt,No,72,Mkt&Fin,61.01,Placed,5280000
193,M,65.2,Negeri,61.4,Negeri,Commerce,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,Placed,5400000
194,F,60,Negeri,63,Negeri,Arts,56,Others,Yes,80,Mkt&HR,56.63,Placed,6000000
195,M,52,Swasta,55,Swasta,Commerce,56.3,Comm&Mgmt,No,59,Mkt&Fin,64.74,Not Placed,
196,M,66,Negeri,76,Negeri,Commerce,72,Comm&Mgmt,Yes,84,Mkt&HR,58.95,Placed,5500000
197,M,72,Swasta,63,Swasta,Science,77.5,Sci&Tech,Yes,78,Mkt&Fin,54.48,Placed,5000000
198,F,83.96,Internasional,53,Internasional,Science,91,Sci&Tech,No,59.32,Mkt&HR,69.71,Placed,5200000
199,F,67,Negeri,70,Negeri,Commerce,65,Others,No,88,Mkt&HR,71.96,Not Placed,
200,M,69,Internasional,65,Internasional,Commerce,57,Comm&Mgmt,No,73,Mkt&HR,55.8,Placed,5300000
201,M,69,Internasional,60,Internasional,Commerce,65,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,Placed,6000000
202,M,54.2,Negeri,63,Negeri,Science,58,Comm&Mgmt,No,79,Mkt&HR,58.44,Not Placed,
203,M,70,Negeri,63,Negeri,Science,66,Sci&Tech,No,61.28,Mkt&HR,60.11,Placed,4800000
204,M,55.68,Internasional,61.33,Internasional,Commerce,56.87,Comm&Mgmt,No,66,Mkt&HR,58.3,Placed,5200000
205,F,74,Swasta,73,Swasta,Commerce,73,Comm&Mgmt,Yes,80,Mkt&Fin,67.69,Placed,4200000
206,M,61,Swasta,62,Swasta,Commerce,65,Comm&Mgmt,No,62,Mkt&Fin,56.81,Placed,5000000
207,M,41,Negeri,42,Negeri,Science,60,Comm&Mgmt,No,97,Mkt&Fin,53.39,Not Placed,
208,M,83.33,Negeri,78,Negeri,Commerce,61,Comm&Mgmt,Yes,88.56,Mkt&Fin,71.55,Placed,6000000
209,F,43,Negeri,60,Negeri,Science,65,Comm&Mgmt,No,92.66,Mkt&HR,62.92,Not Placed,
210,M,62,Negeri,72,Negeri,Commerce,65,Comm&Mgmt,No,67,Mkt&Fin,56.49,Placed,4320000
211,M,80.6,Internasional,82,Internasional,Commerce,77.6,Comm&Mgmt,No,91,Mkt&Fin,74.49,Placed,8000000
212,M,58,Swasta,60,Swasta,Science,72,Sci&Tech,No,74,Mkt&Fin,53.62,Placed,5500000
213,M,67,Swasta,67,Swasta,Commerce,73,Comm&Mgmt,Yes,59,Mkt&Fin,69.72,Placed,5900000
214,F,74,Swasta,66,Swasta,Commerce,58,Comm&Mgmt,No,70,Mkt&HR,60.23,Placed,4080000
215,Male,62,Negeri,58,Negeri,Science,53,Comm&Mgmt,No,89,Mkt&HR,60.22,Not Placed,
